review	sentiment
ไม่ได้เรื่อง	negative
ห่วยแตก	negative
ไม่สนุก	negative
น่าเบื่อมาก	negative
ดูไปก็หลับไป	negative
ไม่เห็นน่าสนใจเลยสักนิด	negative
ไร้สาระ ปัญญาอ่อน	negative
เสียงเบา ฟังไม่รู้เรื่อง	negative
ภาพไม่ชัด	negative
มันกระตุกมาก	negative
คุณภาพแย่	negative
โคตรน่าเบื่อ ตัวละครก็น่ารำคาญ	negative
ตัวละครงี่เง่า เนื้อเรื่องก็แย่ พล็อตอย่างโฮล	negative
มีปัญญาทำได้แค่นี้เหรอ?	negative
ไม่น่าสร้าง เสียดายเงิน	negative
โคตรเสียเวลา ถ้าจะตัดจบแบบนี้ โคตรน่าหงุดหงิด	negative
อะไรวะ โคตรโง่ โคตรกาก อ่อนว่ะ	negative
เอาเวลาดูไปทำอย่างอื่นดีกว่า	negative
ใช้งานโคตรยาก	negative
บ้าปะ พระเอกแม่งเชื่อไปได้ไงอะ	negative
เมื่อไหร่ตัวร้ายจะตาย ๆ ไปสักที น่ารำคาญ กรี้ดอยู่ได้	negative
โคตรกาก อ่อนชิบหาย	negative
อย่างแย่อะ ใครจะดูเรื่องนี้ บอกเลยว่าหยุด! โคตรแย่ เสียเวลาชีวิต!!!!	negative
โหลดนานไป	negative
ดูไม่ได้ เป็นบ้าไรของมันไม่รู้	negative
ตอนแรกก็สนุกอยู่หรอก แต่ไป ๆ มา ๆ กลางเรื่องก็ไม่สนุกแหละ โดยรวมน่าผิดหวังสุด ๆ	negative
เห็นตอนจบอย่างเซ็ง	negative
ทำไมเนื้อเรื่องไวจังวะ ตัดจบรึไง	negative
ดูไม่เห็นรู้เรื่อง	negative
โคตรแย่ น่าผิดหวัง	negative
คาดหวังว่ามันจะสนุกกว่านี้ น่าเสียดาย	negative
เรื่องนี้บอกเลยว่าไม่แนะนำ โคตรห่วยแตก	negative
ดูได้แป๊ปเดียวบอกเลยว่าพอ ไม่ไหว	negative
อุตส่าห์ตามดูเรื่องนี้มาตั้งนาน ถ้าเนื้อเรื่องมันจะจบอย่างนี้นะ โคตรเสียความรู้สึก	negative
จะบ้า ทำไมมีแต่คนรีวิวดี ๆ ว่ะ แต่เนื้อหาโคตรจะแย่ เขาปั่นรีวิวกันรึไง	negative
ให้สามคำ "อย่า หา ดู"	negative
ทำไมนางเอกทำตัวอย่างนี้ว่ะ น่ารำคาญ	negative
เนื้อเรื่องอย่างเอื่อย น่าเบื่อ	negative
รอดูตั้งนาน แต่โคตรน่าผิดหวัง	negative
แคสคนมาได้แย่ ไม่เห็นเหมาะกับบทเลย	negative
เล่นแข็งเป็นหิน	negative
เห็นคนอวยกันนักกันหนาว่าสนุกอย่างนั้นสนุกอย่างนี้ แต่โคตรแย่ ไม่เห็นดีเลย ยอดแย่สุด ๆ	negative
ที่มาของคำว่าไม่ได้คุณภาพ	negative
เนื้อเรื่องเดินช้ามากกกกกกกกกกกกกก โคตรอืด	negative
รู้สึกมีแต่น้ำ ออกทะเลแหง ๆ	negative
ตอนดูน่าปกมันก็ดูตรงคาแรคเตอร์นะ แต่พอดูเนื้อเรื่องเท่านั้นแหละ... ตรงไหนวะที่ตรง	negative
